	Kingdom	Supergroup	Division	Class	Order	Family	Genus	Species
ASV_112	Eukaryota	Opisthokonta	Metazoa	Arthropoda	Crustacea	Maxillopoda	Temora	Temora_turbinata
ASV_113	Eukaryota	Rhizaria	Radiolaria	Polycystinea	Spumellarida	Spumellarida-Group-I	Spumellarida-Group-I_X	Spumellarida-Group-I_X_sp.
ASV_114	Eukaryota	Alveolata	Dinoflagellata	Syndiniales	Dino-Group-II	Dino-Group-II-Clade-7	Dino-Group-II-Clade-7_X	Dino-Group-II-Clade-7_X_sp.
ASV_115	Eukaryota	Alveolata	Dinoflagellata	Syndiniales	Dino-Group-II	Dino-Group-II-Clade-1	Dino-Group-II-Clade-1_X	Dino-Group-II-Clade-1_X_sp.
ASV_116	Eukaryota	Alveolata	Dinoflagellata	Syndiniales	Dino-Group-I	Dino-Group-I-Clade-1	Dino-Group-I-Clade-1_X	Dino-Group-I-Clade-1_X_sp.
ASV_117	Eukaryota	Alveolata	Dinoflagellata	Dinophyceae	Gymnodiniales	Gymnodiniaceae	Gymnodinium	Gymnodinium_sp.
ASV_118	Eukaryota	Alveolata	Dinoflagellata	Syndiniales	Dino-Group-I	Dino-Group-I-Clade-1	Dino-Group-I-Clade-1_X	Dino-Group-I-Clade-1_X_sp.
ASV_119	Eukaryota	Alveolata	Dinoflagellata	Syndiniales	Dino-Group-II	Dino-Group-II-Clade-26	Dino-Group-II-Clade-26_X	Dino-Group-II-Clade-26_X_sp.
ASV_120	Eukaryota	Alveolata	Dinoflagellata	Syndiniales	Dino-Group-I	Dino-Group-I-Clade-4	Dino-Group-I-Clade-4_X	Dino-Group-I-Clade-4_X_sp.
ASV_121	Eukaryota	Rhizaria	Radiolaria	Polycystinea	Spumellarida	Spongodiscidae-Coccodiscidae	NA	NA
ASV_122	Eukaryota	Alveolata	Dinoflagellata	Syndiniales	Dino-Group-II	Dino-Group-II-Clade-6	Dino-Group-II-Clade-6_X	Dino-Group-II-Clade-6_X_sp.
ASV_123	Eukaryota	Alveolata	Dinoflagellata	Syndiniales	Dino-Group-II	Dino-Group-II-Clade-6	Dino-Group-II-Clade-6_X	Dino-Group-II-Clade-6_X_sp.
ASV_124	Eukaryota	Alveolata	Dinoflagellata	Syndiniales	Dino-Group-I	Dino-Group-I-Clade-1	Dino-Group-I-Clade-1_X	Dino-Group-I-Clade-1_X_sp.
ASV_125	Eukaryota	Alveolata	Dinoflagellata	Syndiniales	Dino-Group-II	Dino-Group-II-Clade-6	Dino-Group-II-Clade-6_X	Dino-Group-II-Clade-6_X_sp.
ASV_126	Eukaryota	Alveolata	Dinoflagellata	Syndiniales	Dino-Group-II	Dino-Group-II-Clade-7	Dino-Group-II-Clade-7_X	Dino-Group-II-Clade-7_X_sp.
ASV_127	Eukaryota	Opisthokonta	Metazoa	Cnidaria	Cnidaria_X	Hydrozoa	Hippopodius	Hippopodius_hippopus
ASV_128	Eukaryota	Opisthokonta	Metazoa	Arthropoda	Crustacea	Maxillopoda	Temora	Temora_turbinata
ASV_129	Eukaryota	Alveolata	Dinoflagellata	Syndiniales	Dino-Group-II	Dino-Group-II_X	Dino-Group-II_XX	Dino-Group-II_XX_sp.
ASV_130	Eukaryota	Alveolata	Dinoflagellata	Syndiniales	Dino-Group-II	Dino-Group-II-Clade-22	Dino-Group-II-Clade-22_X	Dino-Group-II-Clade-22_X_sp.
ASV_131	Eukaryota	Rhizaria	Radiolaria	Polycystinea	Spumellarida	Spongodiscidae-Coccodiscidae	Spongodiscidae-Coccodiscidae_X	Spongodiscidae-Coccodiscidae_X_sp.
ASV_132	Eukaryota	Hacrobia	Cryptophyta	Cryptophyceae	Cryptophyceae_X	Basal_Cryptophyceae-2	Basal_Cryptophyceae-2_X	Basal_Cryptophyceae-2_X_sp.
ASV_133	Eukaryota	Opisthokonta	Metazoa	Arthropoda	Crustacea	Maxillopoda	Subeucalanus	Subeucalanus_pileatus
